代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),总市值(元),市盈率,市净率,市销率,
600519.SH,贵州茅台,2001-08-27,34.51,37.78,32.85,35.55,40631800,1410347179,4.16,13.2526,34.7104,56.8277,2541825000,8887500000,35.3938,15.8269,7.978,
600519.SH,贵州茅台,2001-08-28,34.99,37,34.61,36.86,12964779,463463143,1.31,3.685,35.7479,18.1326,2635490000,9215000000,36.698,16.4101,8.272,
600519.SH,贵州茅台,2001-08-29,36.98,37,36.1,36.38,5325275,194689620,-0.48,-1.3022,36.5595,7.4479,2601170000,9095000000,36.2201,16.1964,8.1643,
600519.SH,贵州茅台,2001-08-30,36.28,37.51,36,37.1,4801306,177558558,0.72,1.9791,36.9813,6.7151,2652650000,9275000000,36.9369,16.5169,8.3258,
600519.SH,贵州茅台,2001-08-31,37.15,37.62,36.8,37.01,2323148,86231237,-0.09,-0.2426,37.1183,3.2492,2646215000,9252500000,36.8473,16.4769,8.3056,
600519.SH,贵州茅台,2001-09-03,37.2,37.57,36.85,36.99,2211209,82129438,-0.02,-0.054,37.1423,3.0926,2644785000,9247500000,36.8274,16.4679,8.3012,
600519.SH,贵州茅台,2001-09-04,37.01,38.08,36.88,37.46,3700677,139204380,0.47,1.2706,37.6159,5.1758,2678390000,9365000000,37.2954,16.6772,8.4066,
600519.SH,贵州茅台,2001-09-05,37.61,37.92,37.21,37.44,2606695,97796243,-0.02,-0.0534,37.5173,3.6457,2676960000,9360000000,37.2755,16.6683,8.4021,
600519.SH,贵州茅台,2001-09-06,37.35,37.47,36.51,36.7,2899703,107078403,-0.74,-1.9765,36.9274,4.0555,2624050000,9175000000,36.5387,16.3388,8.2361,
600519.SH,贵州茅台,2001-09-07,36.5,36.95,35.65,35.68,3155225,113868743,-1.02,-2.7793,36.0889,4.4129,2551120000,8920000000,35.5232,15.8847,8.0072,
600519.SH,贵州茅台,2001-09-10,35.4,36.85,35.01,36.7,1887889,68406471,1.02,2.8587,36.2344,2.6404,2624050000,9175000000,36.5387,16.3388,8.2361,
600519.SH,贵州茅台,2001-09-11,36.8,36.95,36.2,36.29,1139081,41579698,-0.41,-1.1172,36.5028,1.5931,2594735000,9072500000,36.1305,16.1563,8.1441,
600519.SH,贵州茅台,2001-09-12,35.33,36.2,35.3,35.98,2504519,89421380,-0.31,-0.8542,35.704,3.5028,2572570000,8995000000,35.8219,16.0183,8.0745,
600519.SH,贵州茅台,2001-09-13,36.01,36.3,35.7,35.89,1098668,39512775,-0.09,-0.2501,35.9643,1.5366,2566135000,8972500000,35.7323,15.9782,8.0543,
600519.SH,贵州茅台,2001-09-14,36.01,36.5,35.8,36.3,767283,27740691,0.41,1.1424,36.1544,1.0731,2595450000,9075000000,36.1405,16.1608,8.1463,
600519.SH,贵州茅台,2001-09-17,36.08,36.29,35.5,35.84,898397,32183249,-0.46,-1.2672,35.823,1.2565,2562560000,8960000000,35.6825,15.956,8.0431,
600519.SH,贵州茅台,2001-09-18,35.88,36.55,35.85,36.25,1077326,39006062,0.41,1.144,36.2064,1.5067,2591875000,9062500000,36.0907,16.1385,8.1351,
