,代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),总市值(元),市盈率,市净率,市销率,年份,月份,year,month,day,day_of_week,MA_5,MA_10,daily_return,volatility_5,volatility_10,RSI_14
0,600519.SH,贵州茅台,2001-08-27,34.51,37.78,32.85,35.55,40631800.0,1410347179.0,4.16,13.2526,34.7104,56.8277,2541825000.0,8887500000,35.3938,15.8269,7.978,2001,2001-08,2001,8,27,0,,,,,,
1,600519.SH,贵州茅台,2001-08-28,34.99,37.0,34.61,36.86,12964779.0,463463143.0,1.31,3.685,35.7479,18.1326,2635490000.0,9215000000,36.698,16.4101,8.272,2001,2001-08,2001,8,28,1,,,0.03684950773558371,,,
2,600519.SH,贵州茅台,2001-08-29,36.98,37.0,36.1,36.38,5325275.0,194689620.0,-0.48,-1.3022,36.5595,7.4479,2601170000.0,9095000000,36.2201,16.1964,8.1643,2001,2001-08,2001,8,29,2,,,-0.01302224633749316,,,
3,600519.SH,贵州茅台,2001-08-30,36.28,37.51,36.0,37.1,4801306.0,177558558.0,0.72,1.9791,36.9813,6.7151,2652650000.0,9275000000,36.9369,16.5169,8.3258,2001,2001-08,2001,8,30,3,,,0.019791094007696408,,,
4,600519.SH,贵州茅台,2001-08-31,37.15,37.62,36.8,37.01,2323148.0,86231237.0,-0.09,-0.2426,37.1183,3.2492,2646215000.0,9252500000,36.8473,16.4769,8.3056,2001,2001-08,2001,8,31,4,36.58,,-0.0024258760107818134,,,
5,600519.SH,贵州茅台,2001-09-03,37.2,37.57,36.85,36.99,2211209.0,82129438.0,-0.02,-0.054,37.1423,3.0926,2644785000.0,9247500000,36.8274,16.4679,8.3012,2001,2001-09,2001,9,3,0,36.86800000000001,,-0.0005403944879761591,0.01996754254543694,,
6,600519.SH,贵州茅台,2001-09-04,37.01,38.08,36.88,37.46,3700677.0,139204380.0,0.47,1.2706,37.6159,5.1758,2678390000.0,9365000000,37.2954,16.6772,8.4066,2001,2001-09,2001,9,4,1,36.988,,0.012706136793728007,0.012984429013074656,,
7,600519.SH,贵州茅台,2001-09-05,37.61,37.92,37.21,37.44,2606695.0,97796243.0,-0.02,-0.0534,37.5173,3.6457,2676960000.0,9360000000,37.2755,16.6683,8.4021,2001,2001-09,2001,9,5,2,37.2,,-0.0005339028296851289,0.0098922873830828,,
8,600519.SH,贵州茅台,2001-09-06,37.35,37.47,36.51,36.7,2899703.0,107078403.0,-0.74,-1.9765,36.9274,4.0555,2624050000.0,9175000000,36.5387,16.3388,8.2361,2001,2001-09,2001,9,6,3,37.12,,-0.019764957264957084,0.01157867577432835,,
9,600519.SH,贵州茅台,2001-09-07,36.5,36.95,35.65,35.68,3155225.0,113868743.0,-1.02,-2.7793,36.0889,4.4129,2551120000.0,8920000000,35.5232,15.8847,8.0072,2001,2001-09,2001,9,7,4,36.854,36.717,-0.027792915531335227,0.016332381226014107,,
10,600519.SH,贵州茅台,2001-09-10,35.4,36.85,35.01,36.7,1887889.0,68406471.0,1.02,2.8587,36.2344,2.6404,2624050000.0,9175000000,36.5387,16.3388,8.2361,2001,2001-09,2001,9,10,0,36.796,36.832,0.028587443946188396,0.023091283607157266,0.020957081648413076,
11,600519.SH,贵州茅台,2001-09-11,36.8,36.95,36.2,36.29,1139081.0,41579698.0,-0.41,-1.1172,36.5028,1.5931,2594735000.0,9072500000,36.1305,16.1563,8.1441,2001,2001-09,2001,9,11,1,36.562,36.775000000000006,-0.011171662125340709,0.021893089140650208,0.017683170468621705,
12,600519.SH,贵州茅台,2001-09-12,35.33,36.2,35.3,35.98,2504519.0,89421380.0,-0.31,-0.8542,35.704,3.5028,2572570000.0,8995000000,35.8219,16.0183,8.0745,2001,2001-09,2001,9,12,2,36.27,36.735,-0.008542298153761396,0.021672690999992014,0.01741113743434551,
13,600519.SH,贵州茅台,2001-09-13,36.01,36.3,35.7,35.89,1098668.0,39512775.0,-0.09,-0.2501,35.9643,1.5366,2566135000.0,8972500000,35.7323,15.9782,8.0543,2001,2001-09,2001,9,13,3,36.108,36.614,-0.002501389660922615,0.02062735822137705,0.01581143218502205,52.537313432835845
14,600519.SH,贵州茅台,2001-09-14,36.01,36.5,35.8,36.3,767283.0,27740691.0,0.41,1.1424,36.1544,1.0731,2595450000.0,9075000000,36.1405,16.1608,8.1463,2001,2001-09,2001,9,14,4,36.232000000000006,36.543,0.011423794928949516,0.01649575818190299,0.01647904848625664,55.27426160337553
15,600519.SH,贵州茅台,2001-09-17,36.08,36.29,35.5,35.84,898397.0,32183249.0,-0.46,-1.2672,35.823,1.2565,2562560000.0,8960000000,35.6825,15.956,8.0431,2001,2001-09,2001,9,17,0,36.06,36.428000000000004,-0.012672176308539784,0.009810856844739549,0.016818029918573767,41.853035143769986
16,600519.SH,贵州茅台,2001-09-18,35.88,36.55,35.85,36.25,1077326.0,39006062.0,0.41,1.144,36.2064,1.5067,2591875000.0,9062500000,36.0907,16.1385,8.1351,2001,2001-09,2001,9,18,1,36.052,36.307,0.011439732142856984,0.011191929310527822,0.016690687974188736,48.949919224555714
17,600519.SH,贵州茅台,2001-09-19,36.3,36.92,36.06,36.92,865053.0,31597369.0,0.67,1.8483,36.5265,1.2099,2639780000.0,9230000000,36.7577,16.4368,8.2855,2001,2001-09,2001,9,19,2,36.239999999999995,36.254999999999995,0.01848275862068971,0.012577973598716912,0.01805020245190171,48.534201954397396
18,600519.SH,贵州茅台,2001-09-20,36.9,37.05,36.5,36.61,1117335.0,41189577.0,-0.31,-0.8397,36.8641,1.5627,2617615000.0,9152500000,36.4491,16.2988,8.2159,2001,2001-09,2001,9,20,3,36.384,36.245999999999995,-0.008396533044420451,0.013709784165234945,0.017086902048871942,46.85534591194969
19,600519.SH,贵州茅台,2001-09-21,36.28,36.6,36.0,36.06,787972.0,28638681.0,-0.55,-1.5023,36.3448,1.1021,2578290000.0,9015000000,35.9015,16.0539,8.0925,2001,2001-09,2001,9,21,4,36.336,36.284,-0.015023217700081859,0.015179347305877324,0.015156678659276774,43.2510885341074
20,600519.SH,贵州茅台,2001-09-24,36.06,36.39,36.0,36.05,406860.0,14703096.0,-0.01,-0.0277,36.138,0.569,2577575000.0,9012500000,35.8916,16.0495,8.0902,2001,2001-09,2001,9,24,0,36.378,36.219,-0.0002773155851359954,0.0137931540720242,0.011710207522907235,39.035769828926874
21,600519.SH,贵州茅台,2001-09-25,36.28,36.54,36.05,36.23,348845.0,12639790.0,0.18,0.4993,36.2333,0.4879,2590445000.0,9057500000,36.0708,16.1296,8.1306,2001,2001-09,2001,9,25,1,36.373999999999995,36.213,0.0049930651872398535,0.012872538771624272,0.011371924358337901,40.81942336874051
22,600519.SH,贵州茅台,2001-09-26,36.11,36.48,36.0,36.08,495626.0,17892565.0,-0.15,-0.414,36.1009,0.6932,2579720000.0,9020000000,35.9214,16.0628,8.0969,2001,2001-09,2001,9,26,2,36.206,36.223,-0.004140215291195126,0.007648139951850315,0.011090856400710966,44.83333333333329
23,600519.SH,贵州茅台,2001-09-27,36.08,36.98,36.0,36.7,877804.0,32085131.0,0.62,1.7184,36.5516,1.2277,2624050000.0,9175000000,36.5387,16.3388,8.2361,2001,2001-09,2001,9,27,3,36.224000000000004,36.304,0.01718403547671854,0.011849468419880733,0.012221301029078388,59.10714285714288
24,600519.SH,贵州茅台,2001-09-28,36.9,37.2,36.5,37.09,1708847.0,63169143.0,0.39,1.0627,36.9659,2.39,2651935000.0,9272500000,36.927,16.5125,8.3236,2001,2001-09,2001,9,28,4,36.43,36.383,0.010626702997275306,0.008503099168668928,0.012157625971573454,53.92354124748492
25,600519.SH,贵州茅台,2001-10-08,37.0,37.18,36.25,36.58,655217.0,24091149.0,-0.51,-1.375,36.7682,0.9164,2615470000.0,9145000000,36.4192,16.2854,8.2092,2001,2001-10,2001,10,8,0,36.536,36.457,-0.013750337018064274,0.012195088452034795,0.012308231031333045,52.859960552268234
26,600519.SH,贵州茅台,2001-10-09,36.6,37.5,36.6,37.3,955852.0,35498605.0,0.72,1.9683,37.1382,1.3369,2666950000.0,9325000000,37.1361,16.606,8.3707,2001,2001-10,2001,10,9,1,36.75,36.562,0.01968288682340069,0.01437514078417882,0.013242761912040005,62.04379562043796
27,600519.SH,贵州茅台,2001-10-10,37.3,37.43,36.03,36.1,1754869.0,63956753.0,-1.2,-3.2172,36.4453,2.4544,2581150000.0,9025000000,35.9413,16.0717,8.1014,2001,2001-10,2001,10,10,2,36.754,36.480000000000004,-0.03217158176943691,0.022467878821483614,0.016030568795474865,51.59332321699545
28,600519.SH,贵州茅台,2001-10-11,36.01,36.5,35.65,35.75,1230684.0,44319896.0,-0.35,-0.9695,36.0124,1.7212,2556125000.0,8937500000,35.5929,15.9159,8.0229,2001,2001-10,2001,10,11,3,36.564,36.394,-0.00969529085872578,0.020556804424213055,0.016092147415372227,45.78866768759573
29,600519.SH,贵州茅台,2001-10-12,35.9,36.65,34.05,36.0,2001070.0,70897331.0,0.25,0.6993,35.4297,2.7987,2574000000.0,9000000000,35.8418,16.0272,8.079,2001,2001-10,2001,10,12,4,36.346000000000004,36.388,0.006993006993007089,0.019917827031380602,0.01565153651716993,51.2658227848101
30,600519.SH,贵州茅台,2001-10-15,35.9,36.0,34.9,35.3,975531.0,34501714.0,-0.7,-1.9444,35.3671,1.3644,2523950000.0,8825000000,35.1449,15.7156,7.9219,2001,2001-10,2001,10,15,0,36.089999999999996,36.313,-0.019444444444444486,0.020636687172459246,0.016812294690263147,42.813918305597575
31,600519.SH,贵州茅台,2001-10-16,35.13,35.8,34.75,34.8,831991.0,29068173.0,-0.5,-1.4164,34.9381,1.1636,2488200000.0,8700000000,34.6471,15.493,7.8097,2001,2001-10,2001,10,16,1,35.589999999999996,36.17,-0.014164305949008527,0.014306045298517518,0.017020610570004445,33.54037267080744
32,600519.SH,贵州茅台,2001-10-17,34.79,34.81,33.9,34.2,1250768.0,42766283.0,-0.6,-1.7241,34.192,1.7493,2445300000.0,8550000000,34.0497,15.2258,7.675,2001,2001-10,2001,10,17,2,35.209999999999994,35.982,-0.01724137931034464,0.010551158172314785,0.017538519294871522,32.09509658246661
